FD ,UD,RÉGION,IDCC déclaré,SIRET,Raison sociale,CP,Ville,durée mandat,Nb Colleges,Inscrits par CSE,% Inscrits ICTAM,Votants par CSE,Taux Participation,SVE CSE,Taille_entreprise,Taille_entreprise_2,Presence CGT,Presence CFDT,Presence FO,Presence CFTC,Presence CGC,Presence UNSA,Presence SUD,Presence AUTRES,CGT par CSE,% CGT,CFDT par CSE,FO par CSE,CFTC par CSE,CGC par CSE,UNSA par CSE,SUD par CSE,AUTRES par CSE,Date_prochain scrutin,Année du prochain mandat,Date Visite syndicat,Date Formation,Quadrimestre prochain scrutin,Siren,Effectif Siren,Tranche effectif Siren,"Groupe SBF 120
O/N",Nom du groupe,UL CONCERNÉE,Intitulé de la convention Collective
SOCIETES D'ETUDES,92,IDF,1486,47976684200724,CAPGEMINI TECHNOLOGY SERVICES,92130,ISSY LES MOULINEAUX,4A,8,28073,1.0,10019,0.357,9723.0,100 et plus,1000 et plus,O,O,O,O,O,O,O,O,1106.0,0.11375089992800576,2428.0,1134.0,1947.0,1167.0,1285.0,270.0,386.0,2027-11-15,2027,2026-11-15,2027-01-14 20:00:00,2027-3,479 766 842,28073,20000 à 29999,CAC40,CAPGEMINI,UL ISSY LES MOULINEAUX/MEUDON,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
FSPBA,75,IDF,2120,66204244900014,BNP PARIBAS POLES ET FONCTIONS,75019,PARIS,4A,4,25560,1.0,12704,0.497,12229.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,O,574.0,0.04693760732684602,3975.0,410.0,778.0,4115.0,2059.0,0.0,318.0,2027-04-07,2027,2026-04-07,2026-06-06 20:00:00,2027-1,662 042 449,41837,30 000 et plus,CAC40,BNP PARIBAS,UL PARIS 19,CC BANQUE
FSPBA,92,IDF,2120,55212022228436,SOCIETE GENERALE,92800,PUTEAUX,4A,2,19803,0.875725900116144,6434,0.325,6360.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,2025.0,0.31839622641509435,955.0,13.0,873.0,2269.0,225.0,0.0,0.0,2027-04-20,2027,2026-04-20,2026-06-19 20:00:00,2027-1,552 120 222,47514,30 000 et plus,CAC40,SOCIETE GENERALE,UL PUTEAUX,CC BANQUE
METAUX,31,OCC,3248,42091691800048,AIRBUS OPERATIONS SAS,31060,TOULOUSE,4A,3,15564,0.7900282703675148,12295,0.79,11873.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,1342.0,0.11302956287374716,977.0,5376.0,1362.0,2756.0,60.0,0.0,0.0,2027-11-23,2027,2026-11-23,2027-01-22 20:00:00,2027-3,420 916 918,15564,15000 à 19999,CAC40,AIRBUS,UL 31,CCN de la métallurgie
FSPBA,92,IDF,1672,72205746001971,AXA FRANCE,92727,NANTERRE,4A,9,14553,0.0,10197,0.701,9966.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,487.0,0.04886614489263496,2925.0,1354.0,50.0,3774.0,1376.0,0.0,0.0,2026-11-15,2026,2025-11-15,2026-01-14 20:00:00,2026-3,722 057 460,14553,10000 à 14999,CAC40,AXA,UL NANTERRE,CCN des sociétés d'assurances
FAPT,94,IDF,2148,38012986645100,ORANGE DTSI,94110,ARCUEIL,4A,6,10697,0.9927082359540058,7363,0.688,7096.0,100 et plus,1000 et plus,O,O,O,O,O,N,O,O,623.0,0.08779594137542278,2293.0,292.0,307.0,3162.0,0.0,405.0,14.0,2027-11-16,2027,2026-11-16,2027-01-15 20:00:00,2027-3,380 129 866,45775,30 000 et plus,CAC40,ORANGE,UL ARCUEIL,CC TELECOMMUNICATIONS
FNIC,63,AURA,45,85520050700017,MFP MICHELIN,63040,CLERMONT FERRAND,4A,3,10214,0.7259643626395144,5981,0.586,5791.0,100 et plus,1000 et plus,O,O,N,N,O,N,O,N,715.0,0.12346744949058884,1888.0,0.0,0.0,2468.0,0.0,720.0,0.0,2027-05-16,2027,2026-05-16,2026-07-15 20:00:00,2027-2,855 200 507,15638,15000 à 19999,CAC40,MICHELIN,UL CLERMONT VILLE,CCN du caoutchouc
TRANSPORTS,31,OCC,1612,38347481400100,AIRBUS SAS,31700,BLAGNAC,4A,5,10141,0.9795878118528745,7376,0.727,7196.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,O,284.0,0.039466370205669815,1208.0,1813.0,958.0,2754.0,0.0,0.0,179.0,2027-11-23,2027,2026-11-23,2027-01-22 20:00:00,2027-3,383 474 814,10141,10000 à 14999,CAC40,AIRBUS,UL BLAGNAC,CCN du personnel navigant des essais et réceptions
METAUX,92,IDF,3248,78012998704037,RENAULT S.A.S.,92100,BOULOGNE BILLANCOURT,4A,3,9966,0.9924744130042144,6074,0.609,5962.0,100 et plus,1000 et plus,O,O,O,N,O,N,O,O,437.0,0.07329755115732975,1416.0,121.0,0.0,3181.0,0.0,425.0,382.0,2028-06-20,2028,2027-06-21,2027-08-20 20:00:00,2028-2,780 129 987,26014,20000 à 29999,CAC40,RENAULT,UL BOULOGNE,CCN de la métallurgie
METAUX,13,PACA,3248,35238371500021,AIRBUS HELICOPTERS,13725,MARIGNANE,4A,4,9197,0.9468304882026748,7340,0.798,7108.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,O,519.0,0.07301631963984243,112.0,2701.0,1327.0,2256.0,117.0,0.0,76.0,2027-11-16,2027,2026-11-16,2027-01-15 20:00:00,2027-3,352 383 715,9804,5000 à 9999,CAC40,AIRBUS,UL VITROLLES,CCN de la métallurgie
METAUX,78,IDF,3248,78012998703575,RENAULT SAS,78280,GUYANCOURT,4A,3,8500,0.9889411764705882,4506,0.53,4408.0,100 et plus,1000 et plus,O,O,O,N,O,N,O,O,308.0,0.06987295825771325,1329.0,200.0,0.0,1751.0,0.0,384.0,436.0,2026-11-23,2026,2025-11-23,2026-01-22 20:00:00,2026-3,780 129 987,26014,20000 à 29999,CAC40,RENAULT,UL SQY,CCN de la métallurgie
SOCIETES D'ETUDES,92,IDF,1486,70201295600943,ALTRAN TECHNOLOGIES,92130,ISSY LES MOULINEAUX,4A,2,8316,1.0,2451,0.295,2397.0,100 et plus,1000 et plus,O,O,O,O,O,O,O,O,645.0,0.2690863579474343,676.0,229.0,223.0,240.0,195.0,29.0,160.0,2028-02-21,2028,2027-02-21,2027-04-22 20:00:00,2028-1,702 012 956,8316,5000 à 9999,CAC40,CAPGEMINI,UL ISSY LES MOULINEAUX/MEUDON,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
METAUX,78,IDF,3248,54206547900926,STELLANTIS AUTO SAS - POISSY CEMR - CAMPUS,78300,POISSY,40M,3,6917,0.9953737169293047,5360,0.775,5269.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,N,117.0,0.022205352059214273,872.0,940.0,958.0,2382.0,0.0,0.0,0.0,2027-04-08,2027,2026-04-08,2026-06-07 20:00:00,2027-1,542 065 479,37477,30 000 et plus,CAC40,PSA GROUPE,UL POISSY,CCN de la métallurgie
FSPBA,75,IDF,2120,66204244935945,BNP PARIBAS REGION PARIS,75019,PARIS,4A,6,6829,1.0,4821,0.706,4647.0,100 et plus,1000 et plus,N,O,N,O,O,N,N,N,0.0,0.0,1905.0,0.0,11.0,2731.0,0.0,0.0,0.0,2027-04-07,2027,2026-04-07,2026-06-06 20:00:00,2027-1,662 042 449,41837,30 000 et plus,CAC40,BNP PARIBAS,UL PARIS 19,CC BANQUE
METAUX,25,BFC,3248,54206547900140,PSA AUTOMOBILES SA,25600,SOCHAUX,4A,3,6016,0.4878656914893617,4992,0.83,4806.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,N,876.0,0.1822721598002497,815.0,575.0,1018.0,1522.0,0.0,0.0,0.0,2026-12-15,2026,2025-12-15,2026-02-13 20:00:00,2026-3,542 065 479,37477,30 000 et plus,CAC40,PSA GROUPE,UL 25,CCN de la métallurgie
FNSCBA,92,IDF,2420,85480074501737,AXIMA CONCEPT,92400,COURBEVOIE,4A,3,5834,0.8059650325677066,2488,0.426,2266.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,N,465.0,0.20520741394527803,572.0,48.0,727.0,454.0,0.0,0.0,0.0,2026-11-22,2026,2025-11-22,2026-01-21 20:00:00,2026-3,854 800 745,5834,5000 à 9999,CAC40,ENGIE,UL COURBEVOIE,CC BATIMENT CADRES
SOCIETES D'ETUDES,93,IDF,1486,34503941600085,ORANGE BUSINESS SERVICES,93210,LA PLAINE ST DENIS,4A,3,5612,0.9969707769066286,2429,0.433,2347.0,100 et plus,1000 et plus,O,O,N,N,O,N,N,O,376.0,0.1602045164039199,763.0,0.0,0.0,1204.0,0.0,0.0,4.0,2026-11-24,2026,2025-11-24,2026-01-23 20:00:00,2026-3,345 039 416,5612,5000 à 9999,CAC40,ORANGE,,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
FSPBA,92,IDF,2120,30418770100723,CREDIT AGRICOLE CIB,92120,MONTROUGE,4A,2,5585,1.0,2818,0.505,2774.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,O,8.0,0.002883922134102379,1041.0,327.0,613.0,627.0,0.0,0.0,158.0,2027-04-05,2027,2026-04-05,2026-06-04 20:00:00,2027-1,304 187 701,5585,5000 à 9999,CAC40,CREDIT AGRICOLE,UL MALAKOFF,CC BANQUE
FNIC,92,IDF,1388,54205118000066,TOTALENERGIES PARIS,92400,COURBEVOIE,42M,2,5485,1.0,2189,0.399,2158.0,100 et plus,1000 et plus,O,O,N,O,O,O,N,O,107.0,0.04958294717330862,410.0,0.0,139.0,711.0,336.0,0.0,455.0,2025-11-17,2025,2024-11-17,2025-01-16 20:00:00,2025-3,542 051 180,8327,5000 à 9999,CAC40,TOTAL,UL COURBEVOIE,CC PETROLE INDUSTRIE
SOCIETES D'ETUDES,95,IDF,1486,32362360300442,UES EVIDEN,95870,BEZONS,4A,2,5319,1.0,3092,0.581,2991.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,653.0,0.21832163156135073,910.0,450.0,55.0,856.0,67.0,0.0,0.0,2027-11-29,2027,2026-11-29,2027-01-28 20:00:00,2027-3,323 623 603,5319,5000 à 9999,CAC40,ATOS,UL BEZONS,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
SOCIETES D'ETUDES,95,IDF,1486,40802471900572,ATOS FRANCE,95870,BEZONS,4A,2,5274,1.0,3069,0.582,2924.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,549.0,0.1877564979480164,733.0,300.0,71.0,740.0,531.0,0.0,0.0,2027-11-28,2027,2026-11-28,2027-01-27 20:00:00,2027-3,408 024 719,5274,5000 à 9999,CAC40,ATOS,UL BEZONS,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
METAUX,31,OCC,3248,39334151600093,AIRBUS DEFENCE AND SPACE SAS,31402,TOULOUSE,4A,3,5117,0.9783076021106117,3479,0.68,3436.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,631.0,0.18364377182770664,1211.0,209.0,172.0,800.0,413.0,0.0,0.0,2027-11-10,2027,2026-11-10,2027-01-09 20:00:00,2027-3,393 341 516,6644,5000 à 9999,CAC40,AIRBUS,UL 31,CCN de la métallurgie
METAUX,78,IDF,3248,32230644000213,DASSAULT SYSTEMES SE,78140,VELIZY VILLACOUBLAY,4A,2,5112,1.0,2879,0.563,2798.0,100 et plus,1000 et plus,O,O,O,N,O,N,N,O,250.0,0.08934953538241601,638.0,333.0,0.0,978.0,0.0,0.0,599.0,2028-03-21,2028,2027-03-22,2027-05-21 20:00:00,2028-1,322 306 440,5112,5000 à 9999,CAC40,DASSAULT SYSTEMES,UL VELIZY,CCN de la métallurgie
FAPT,75,IDF,2148,38012986612688,DIRECTION ORANGE ILE DE FRANCE,75016,PARIS,4A,3,4990,0.8821643286573146,3142,0.63,2984.0,100 et plus,1000 et plus,O,O,O,O,O,N,O,O,320.0,0.10723860589812333,707.0,633.0,182.0,802.0,0.0,321.0,19.0,2027-11-16,2027,2026-11-16,2027-01-15 20:00:00,2027-3,380 129 866,45775,30 000 et plus,CAC40,ORANGE,UL PARIS 16,CC TELECOMMUNICATIONS
METAUX,38,AURA,3248,34145938600171,STMICROELECTRONICS CROLLES SA,38926,CROLLES,4A,3,4984,0.8752006420545746,3773,0.757,3637.0,100 et plus,1000 et plus,O,O,N,N,O,O,N,O,966.0,0.26560351938410776,670.0,0.0,0.0,1529.0,252.0,0.0,220.0,2028-11-20,2028,2027-11-21,2028-01-20 20:00:00,2028-3,341 459 386,5397,5000 à 9999,CAC40,STMICROELECTRONICS,UL GRESIVAUDAN,CCN de la métallurgie
METAUX,77,IDF,3248,41481521700073,SAFRAN AIRCRAFT ENGINES ETABLISSEMENT VILLAROCHE,77550,MOISSY CRAMAYEL,4A,3,4978,0.8519485737243873,3277,0.658,3156.0,100 et plus,1000 et plus,O,O,O,N,O,O,O,N,929.0,0.2943599493029151,548.0,198.0,0.0,1276.0,193.0,12.0,0.0,2027-01-25,2027,2026-01-25,2026-03-26 20:00:00,2027-1,414 815 217,13327,10000 à 14999,CAC40,SAFRAN,UL SENART,CCN de la métallurgie
FSPBA,92,IDF,2120,54209790204723,UES BNPP PERSONAL FINANCE,92300,LEVALLOIS PERRET,4A,3,4786,0.4603008775595487,2729,0.57,2696.0,100 et plus,1000 et plus,O,O,N,O,O,O,N,N,118.0,0.04376854599406528,775.0,0.0,931.0,462.0,410.0,0.0,0.0,2027-11-17,2027,2026-11-17,2027-01-16 20:00:00,2027-3,542 097 902,4786,4000 à 4999,CAC40,BNP PARIBAS,UL LEVALLOIS,CC BANQUE
FAPT,93,IDF,2148,38012986646553,ORANGE SERVICES COMMUNICATIONS ENTREPRISES,93210,LA PLAINE ST DENIS,4A,3,4785,0.9908045977011494,3701,0.773,3646.0,100 et plus,1000 et plus,O,O,O,O,O,N,O,O,169.0,0.046352166758091055,1164.0,222.0,74.0,1930.0,0.0,58.0,29.0,2027-11-16,2027,2026-11-16,2027-01-15 20:00:00,2027-3,380 129 866,45775,30 000 et plus,CAC40,ORANGE,,CC TELECOMMUNICATIONS
COMMERCE & SERVICES,92,IDF,3235,39371228603775,SEPHORA SAS,92576,NEUILLY SUR SEINE,4A,3,4627,0.4091203803760536,2325,0.502,2272.0,100 et plus,1000 et plus,O,O,O,O,O,O,O,O,522.0,0.22975352112676056,350.0,16.0,868.0,367.0,5.0,10.0,134.0,2027-10-19,2027,2026-10-19,2026-12-18 20:00:00,2027-3,393 712 286,4627,4000 à 4999,CAC40,LVMH,UL NEUILLY,CC PARFUMERIE SELECTIVE
METAUX,68,GES,3248,54206547900272,PSA AUTOMOBILES SA,68071,MULHOUSE,4A,3,4368,0.1762820512820513,3862,0.884,3726.0,100 et plus,1000 et plus,O,O,O,O,O,O,O,N,818.0,0.21953837895866882,1013.0,862.28,536.0,441.72,37.0,18.0,0.0,2027-01-18,2027,2026-01-18,2026-03-19 20:00:00,2027-1,542 065 479,37477,30 000 et plus,CAC40,PSA GROUPE,UL MULHOUSE,CCN de la métallurgie
FNSCBA,60,PIC,3216,57214188502180,DISTRIBUTION SANITAIRE CHAUFFAGE,60550,VERNEUIL EN HALATTE,4A,3,4295,0.4270081490104773,1398,0.325,1300.0,100 et plus,1000 et plus,O,O,N,N,O,N,N,N,308.0,0.23692307692307693,683.0,0.0,0.0,309.0,0.0,0.0,0.0,2027-11-15,2027,2026-11-15,2027-01-14 20:00:00,2027-3,572 141 885,4295,4000 à 4999,CAC40,SAINT-GOBAIN,UL BASSIN CREILLOIS,CC MATERIAUX DE CONSTRUCTION NEGOCE
FAPT,92,IDF,2148,39748093003464,BOUYGUES TELECOM ILE-DE-FRANCE,92190,MEUDON,4A,3,4237,0.9629454802926599,3055,0.721,2995.0,100 et plus,1000 et plus,N,O,O,O,N,N,N,N,0.0,0.0,809.0,1330.0,856.0,0.0,0.0,0.0,0.0,2026-06-02,2026,2025-06-02,2025-08-01 20:00:00,2026-2,397 480 930,6363,5000 à 9999,CAC40,BOUYGUES,UL ISSY LES MOULINEAUX/MEUDON,CC TELECOMMUNICATIONS
METAUX,78,IDF,3248,42867712400433,THALES SERVICES NUMERIQUES SAS,78140,VELIZY VILLACOUBLAY,3A,2,4208,1.0,1946,0.462,1887.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,N,395.0,0.20932697403285638,897.0,13.0,268.0,314.0,0.0,0.0,0.0,2025-11-09,2025,2024-11-09,2025-01-08 20:00:00,2025-3,428 677 124,4208,4000 à 4999,CAC40,THALES,UL VELIZY,CCN de la métallurgie
METAUX,38,AURA,3248,42110670900254,UES SEI SEF GRENOBLE,38000,GRENOBLE,4A,3,4158,0.9458874458874459,2573,0.619,2505.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,O,294.0,0.11736526946107785,642.0,200.0,993.0,366.0,0.0,0.0,10.0,2025-11-25,2025,2024-11-25,2025-01-24 20:00:00,2025-3,421 106 709,10783,10000 à 14999,CAC40,SCHNEIDER ELECTRIC,UL GRENOBLE,CCN de la métallurgie
SOCIETES D'ETUDES,92,IDF,1486,37890194600640,WORLDLINE SA,92800,PUTEAUX,3A,2,4030,1.0,2258,0.56,2206.0,100 et plus,1000 et plus,O,O,O,O,O,N,N,N,404.0,0.18313689936536717,643.0,155.0,394.0,610.0,0.0,0.0,0.0,2025-11-15,2025,2024-11-15,2025-01-14 20:00:00,2025-3,378 901 946,4030,4000 à 4999,CAC40,WORLDLINE,UL PUTEAUX,"CCN des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils du 16 juillet 2021"
FSPBA,75,IDF,2120,55212022238534,SOCIETE GENERALE,75009,PARIS,4A,2,4028,0.5295431976166832,2698,0.67,2628.0,100 et plus,1000 et plus,O,O,N,O,O,O,N,N,665.0,0.2530441400304414,644.0,0.0,282.0,1030.0,7.0,0.0,0.0,2027-10-20,2027,2026-10-20,2026-12-19 20:00:00,2027-3,552 120 222,47514,30 000 et plus,CAC40,SOCIETE GENERALE,UL PARIS 9,CC BANQUE
METAUX,92,IDF,3248,38347093700194,THALES SIX GTS FRANCE SAS,92622,GENNEVILLIERS,3A,2,3986,1.0,1892,0.475,1856.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,121.0,0.06519396551724138,657.0,109.0,414.0,312.0,243.0,0.0,0.0,2025-11-16,2025,2024-11-16,2025-01-15 20:00:00,2025-3,383 470 937,7137,5000 à 9999,CAC40,THALES,UL GENNEVILLIERS/VILLENEUVE LA GARENNE,CCN de la métallurgie
FSPBA,75,IDF,2120,55212022232982,SOCIETE GENERALE,75009,PARIS,4A,2,3900,0.5356410256410257,2495,0.64,2420.0,100 et plus,1000 et plus,O,O,O,O,O,O,N,N,794.0,0.328099173553719,380.0,9.0,415.0,799.0,23.0,0.0,0.0,2027-10-20,2027,2026-10-20,2026-12-19 20:00:00,2027-3,552 120 222,47514,30 000 et plus,CAC40,SOCIETE GENERALE,UL PARIS 9,CC BANQUE
FAPT,69,AURA,2148,38012986648427,DIRECTION ORANGE GRAND SUD EST,69003,LYON,4A,3,3806,0.8460325801366264,2519,0.662,2405.0,100 et plus,1000 et plus,O,O,O,O,O,N,O,O,417.0,0.1733887733887734,599.0,524.0,44.0,631.0,0.0,152.0,38.0,2027-11-16,2027,2026-11-16,2027-01-15 20:00:00,2027-3,380 129 866,45775,30 000 et plus,CAC40,ORANGE,,CC TELECOMMUNICATIONS
